mun_id;ano;Valor;Sexo;faixa_id
3511300;2021;219;Mulheres;00 a 04
3511409;2021;613;Mulheres;00 a 04
3511508;2021;1.330;Mulheres;00 a 04
3511607;2021;526;Mulheres;00 a 04
3511706;2021;544;Mulheres;00 a 04
3511904;2021;291;Mulheres;00 a 04
3512001;2021;478;Mulheres;00 a 04
3512100;2021;196;Mulheres;00 a 04
3512209;2021;927;Mulheres;00 a 04
3512308;2021;537;Mulheres;00 a 04
3512407;2021;755;Mulheres;00 a 04
3512506;2021;157;Mulheres;00 a 04
3512605;2021;136;Mulheres;00 a 04
3512704;2021;110;Mulheres;00 a 04
3512803;2021;2.234;Mulheres;00 a 04
3512902;2021;154;Mulheres;00 a 04
3513009;2021;9.320;Mulheres;00 a 04
3513108;2021;1.019;Mulheres;00 a 04
3513207;2021;261;Mulheres;00 a 04
3513306;2021;55;Mulheres;00 a 04
3513405;2021;2.425;Mulheres;00 a 04
3513504;2021;4.192;Mulheres;00 a 04
3513603;2021;627;Mulheres;00 a 04
3513702;2021;813;Mulheres;00 a 04
3513801;2021;13.919;Mulheres;00 a 04
3513850;2021;41;Mulheres;00 a 04
3513900;2021;292;Mulheres;00 a 04
3514007;2021;301;Mulheres;00 a 04
3514106;2021;945;Mulheres;00 a 04
3514205;2021;47;Mulheres;00 a 04
3514304;2021;210;Mulheres;00 a 04
3514403;2021;1.126;Mulheres;00 a 04
3514502;2021;307;Mulheres;00 a 04
3514601;2021;264;Mulheres;00 a 04
3514700;2021;189;Mulheres;00 a 04
3514809;2021;618;Mulheres;00 a 04
3514908;2021;522;Mulheres;00 a 04
3514924;2021;89;Mulheres;00 a 04
3514957;2021;63;Mulheres;00 a 04
3515004;2021;10.255;Mulheres;00 a 04
3515103;2021;2.277;Mulheres;00 a 04
3515129;2021;74;Mulheres;00 a 04
3515152;2021;718;Mulheres;00 a 04
3515186;2021;1.111;Mulheres;00 a 04
3515194;2021;167;Mulheres;00 a 04
3515202;2021;198;Mulheres;00 a 04
3515301;2021;76;Mulheres;00 a 04
3515350;2021;302;Mulheres;00 a 04
3515400;2021;462;Mulheres;00 a 04
3515509;2021;1.568;Mulheres;00 a 04
3515608;2021;127;Mulheres;00 a 04
3515657;2021;45;Mulheres;00 a 04
3515707;2021;6.972;Mulheres;00 a 04
3515806;2021;37;Mulheres;00 a 04
3515905;2021;56;Mulheres;00 a 04
3516002;2021;313;Mulheres;00 a 04
3516101;2021;76;Mulheres;00 a 04
3516200;2021;10.304;Mulheres;00 a 04
3516309;2021;6.583;Mulheres;00 a 04
3516408;2021;5.372;Mulheres;00 a 04
3516507;2021;57;Mulheres;00 a 04
3516606;2021;156;Mulheres;00 a 04
3516705;2021;1.118;Mulheres;00 a 04
3516804;2021;150;Mulheres;00 a 04
3516853;2021;136;Mulheres;00 a 04
3516903;2021;255;Mulheres;00 a 04
3517000;2021;288;Mulheres;00 a 04
3517109;2021;140;Mulheres;00 a 04
3517208;2021;386;Mulheres;00 a 04
3517307;2021;174;Mulheres;00 a 04
3517406;2021;1.014;Mulheres;00 a 04
3517505;2021;556;Mulheres;00 a 04
3517604;2021;641;Mulheres;00 a 04
3517703;2021;680;Mulheres;00 a 04
3517802;2021;229;Mulheres;00 a 04
3517901;2021;352;Mulheres;00 a 04
3518008;2021;45;Mulheres;00 a 04
3518107;2021;194;Mulheres;00 a 04
3518206;2021;915;Mulheres;00 a 04
3518305;2021;1.039;Mulheres;00 a 04
3518404;2021;3.512;Mulheres;00 a 04
3518503;2021;392;Mulheres;00 a 04
3518602;2021;1.249;Mulheres;00 a 04
3518701;2021;10.628;Mulheres;00 a 04
3518800;2021;47.257;Mulheres;00 a 04
3518859;2021;229;Mulheres;00 a 04
3518909;2021;148;Mulheres;00 a 04
3519006;2021;285;Mulheres;00 a 04
3519055;2021;513;Mulheres;00 a 04
3519071;2021;7.248;Mulheres;00 a 04
3519105;2021;338;Mulheres;00 a 04
3519204;2021;169;Mulheres;00 a 04
3519253;2021;185;Mulheres;00 a 04
3519303;2021;1.143;Mulheres;00 a 04
3519402;2021;348;Mulheres;00 a 04
3519501;2021;233;Mulheres;00 a 04
3519600;2021;1.658;Mulheres;00 a 04
3519709;2021;2.472;Mulheres;00 a 04
3519808;2021;268;Mulheres;00 a 04
3519907;2021;240;Mulheres;00 a 04
3520004;2021;715;Mulheres;00 a 04
3520103;2021;824;Mulheres;00 a 04
3520202;2021;305;Mulheres;00 a 04
3520301;2021;919;Mulheres;00 a 04
3520400;2021;1.182;Mulheres;00 a 04
3520426;2021;351;Mulheres;00 a 04
3520442;2021;620;Mulheres;00 a 04
3520509;2021;7.096;Mulheres;00 a 04
3520608;2021;128;Mulheres;00 a 04
3520707;2021;108;Mulheres;00 a 04
3520806;2021;111;Mulheres;00 a 04
3520905;2021;447;Mulheres;00 a 04
3521002;2021;1.068;Mulheres;00 a 04
3521101;2021;243;Mulheres;00 a 04
3521150;2021;144;Mulheres;00 a 04
3521200;2021;171;Mulheres;00 a 04
3521309;2021;519;Mulheres;00 a 04
3521408;2021;695;Mulheres;00 a 04
3521507;2021;203;Mulheres;00 a 04
3521606;2021;140;Mulheres;00 a 04
3521705;2021;549;Mulheres;00 a 04
3521804;2021;864;Mulheres;00 a 04
3521903;2021;322;Mulheres;00 a 04
3522000;2021;98;Mulheres;00 a 04
3522109;2021;3.648;Mulheres;00 a 04
3522158;2021;102;Mulheres;00 a 04
3522208;2021;6.278;Mulheres;00 a 04
3522307;2021;5.183;Mulheres;00 a 04
