"﻿Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Variável - Rendimento médio da produção (Quilogramas por Hectare),,,,,,,,,,,,,,,,,,,,,,
Cód.,Município,Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,
Cód.,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cód.,Município,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar
3549250,São João de Iracema (SP),70000,70000,79545,77354,78475,88637,100000,130000,74642,71995,80147,100000,69049,69049,71000,70974,58000,60000,60000,62000,72000
3549300,São João do Pau d'Alho (SP),-,-,-,-,-,-,-,...,-,-,100000,94667,80000,80992,63967,70000,75000,75000,70000,70000,70000
3549409,São Joaquim da Barra (SP),90000,96000,70000,75000,75000,77007,80000,100000,100000,100000,100000,100000,80019,90010,80019,80019,80019,80000,80000,72000,72000
3549508,São José da Bela Vista (SP),100000,100000,100000,100000,90000,89406,90000,90000,90000,90000,90000,100000,100000,82247,70000,70000,80000,100000,100000,85000,100000
3549607,São José do Barreiro (SP),50000,50000,50000,50000,50000,60173,60000,60000,60173,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
3549706,São José do Rio Pardo (SP),70000,60000,80000,75419,75400,74943,94017,90000,90000,90000,79672,80000,98305,98305,98305,100000,100000,70000,70000,80000,83333
3549805,São José do Rio Preto (SP),80000,80000,70000,70000,100000,79463,80000,85000,80000,90000,90000,90000,80000,80000,70000,80000,80000,80000,100000,80000,80000
3549904,São José dos Campos (SP),-,-,60000,30000,30000,29795,30000,30000,30000,30000,30000,-,-,-,-,-,50000,-,-,-,...
3549953,São Lourenço da Serra (SP),-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,...,...,...
3550001,São Luiz do Paraitinga (SP),-,60000,-,-,-,19857,60000,70000,19857,19857,60000,60000,-,83333,60000,-,60000,60000,60000,70000,70000
3550100,São Manuel (SP),90000,82173,86538,90000,88775,92084,90000,90000,90000,83435,92782,90000,90000,80000,80000,70000,70000,60000,80000,79991,79991
3550209,São Miguel Arcanjo (SP),-,-,-,-,-,-,-,-,-,-,82000,79500,73000,-,-,-,-,-,-,-,-
3550308,São Paulo (SP),-,...,...,...,...,...,...,...,...,...,...,...,...,1200,20000,20000,20000,20000,20000,20000,20000
3550407,São Pedro (SP),60000,60000,60000,60000,60000,59602,60000,59602,60000,60000,60000,70000,60000,60000,42339,54732,65000,65000,67000,65000,65000
3550506,São Pedro do Turvo (SP),75000,75000,75000,75000,75000,74508,75000,80000,80000,80000,80000,80000,85000,85000,85000,85000,85000,70000,72000,80000,78960
3550605,São Roque (SP),-,60000,60000,60000,60000,59595,59595,59000,59595,-,-,100000,90000,100000,100000,-,-,100000,100000,83333,83333
3550704,São Sebastião (SP),10000,...,...,...,...,...,...,...,...,...,...,...,...,-,...,...,-,-,-,-,-
3550803,São Sebastião da Grama (SP),-,-,-,-,-,-,-,90000,90000,90000,70000,70000,70000,70000,70000,69905,69905,69905,69905,75000,70000
3550902,São Simão (SP),62941,75000,75000,75000,75000,77011,75000,80000,80009,80000,79998,79999,70000,80670,74100,70000,70000,70000,70000,70000,70000
3551009,São Vicente (SP),-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
