CD_MUN;Município;value;YEAR;AET;NDVI;NPP;SOIL;TMIN;TMMX;PR
3517703;Guará (SP);82132;2005;778;4746;8445;389;165;277;134
3517802;Guaraçaí (SP);83680;2005;677;5656;5838;201;173;297;87
3517901;Guaraci (SP);74508;2005;761;4706;7086;438;173;303;117
3518008;Guarani d'Oeste (SP);119200;2005;703;5078;6003;301;170;299;105
3518107;Guarantã (SP);;2005;763;5239;7417;226;155;283;101
3518206;Guararapes (SP);85875;2005;692;5300;6172;192;166;293;92
3518503;Guareí (SP);74497;2005;762;5723;12964;224;140;256;111
3518602;Guariba (SP);92413;2005;755;5004;8393;323;159;280;117
3518859;Guatapará (SP);82149;2005;795;5366;9422;319;158;280;122
3518909;Guzolândia (SP);90067;2005;695;5279;5859;199;171;298;94
3519006;Herculândia (SP);98738;2005;736;4874;6499;155;157;284;98
3519055;Holambra (SP);99329;2005;790;5538;9705;312;147;266;119
3519071;Hortolândia (SP);59598;2005;774;3927;9152;243;151;267;118
3519105;Iacanga (SP);69530;2005;743;5280;7356;232;160;286;100
3519204;Iacri (SP);91762;2005;743;5055;6288;169;162;288;97
3519253;Iaras (SP);;2005;809;5464;10368;263;144;273;107
3519303;Ibaté (SP);85788;2005;786;5549;9217;334;150;263;122
3519402;Ibirá (SP);79463;2005;720;5673;7051;311;169;295;102
3519501;Ibirarema (SP);84440;2005;789;4733;7399;159;155;282;102
3519600;Ibitinga (SP);79475;2005;755;5170;7323;256;161;286;104
3519808;Icém (SP);89400;2005;742;4854;6667;409;174;304;113
3519907;Iepê (SP);91396;2005;800;4863;7008;164;169;290;107
3520004;Igaraçu do Tietê (SP);89406;2005;793;5381;8706;251;152;276;110
3520103;Igarapava (SP);79062;2005;743;5221;9687;388;164;282;138
3520442;Ilha Solteira (SP);94484;2005;741;4391;5835;239;176;302;104
3520509;Indaiatuba (SP);79463;2005;767;5220;10433;240;148;261;117
3520608;Indiana (SP);;2005;724;5514;6340;129;175;296;94
3520707;Indiaporã (SP);;2005;706;4699;5918;323;174;302;105
3520806;Inúbia Paulista (SP);88269;2005;702;5734;6259;149;165;291;91
3520905;Ipaussu (SP);79471;2005;846;5455;9119;236;148;274;116
3521002;Iperó (SP);79463;2005;728;5837;12403;194;142;251;108
3521101;Ipeúna (SP);85924;2005;776;5818;10059;265;148;264;121
3521150;Ipiguá (SP);79521;2005;728;5352;6784;351;171;299;106
3521309;Ipuã (SP);82925;2005;765;4310;7535;410;168;287;130
3521408;Iracemápolis (SP);89406;2005;766;5466;9052;225;148;265;115
3521507;Irapuã (SP);79463;2005;712;5611;7128;273;166;293;99
3521606;Irapuru (SP);77477;2005;696;5220;5630;171;171;295;89
3521804;Itaí (SP);98899;2005;826;4890;9915;306;145;267;105
3521903;Itajobi (SP);82128;2005;732;5357;7621;292;165;290;104
3522000;Itaju (SP);84446;2005;755;5044;7205;245;160;284;103
3522307;Itapetininga (SP);69530;2005;748;5663;12375;226;139;250;108
3522406;Itapeva (SP);79463;2005;806;5911;13345;350;136;250;110
3522604;Itapira (SP);98900;2005;822;5895;11773;362;141;262;129
3522703;Itápolis (SP);82153;2005;746;5534;7530;283;163;287;107
3522901;Itapuí (SP);89406;2005;771;5039;7482;251;155;279;105
3523008;Itapura (SP);99002;2005;747;5135;5836;265;180;304;98
3523404;Itatiba (SP);;2005;761;5766;11211;303;135;247;125
3523503;Itatinga (SP);;2005;802;6042;14015;290;139;262;112
3523602;Itirapina (SP);66019;2005;775;5936;10832;291;142;254;123
3523701;Itirapuã (SP);;2005;813;6065;12199;414;150;253;145
3523800;Itobi (SP);79463;2005;847;5812;11000;471;144;266;133
3523909;Itu (SP);69530;2005;747;5763;12329;246;142;251;117
3524006;Itupeva (SP);70677;2005;763;5844;11525;281;141;253;119
3524105;Ituverava (SP);92412;2005;764;4776;8340;396;165;280;135
3524204;Jaborandi (SP);92399;2005;756;5185;7743;433;170;294;116
3524303;Jaboticabal (SP);92003;2005;757;4971;8199;354;162;284;117
3524709;Jaguariúna (SP);99329;2005;794;5350;9925;313;147;266;120
3524808;Jales (SP);;2005;699;5383;5557;245;169;298;103
3525102;Jardinópolis (SP);82144;2005;821;5327;8754;367;162;283;131
3525201;Jarinu (SP);74495;2005;745;6161;12030;319;133;243;127
3525300;Jaú (SP);81781;2005;776;5197;8182;261;151;273;110
3525409;Jeriquara (SP);89396;2005;770;5341;9264;380;157;258;140
3525607;João Ramalho (SP);88228;2005;780;5204;6825;149;163;288;106
3525706;José Bonifácio (SP);118680;2005;709;5091;6497;256;169;296;98
3525854;Jumirim (SP);99328;2005;748;5518;10761;182;151;266;108
3526001;Junqueirópolis (SP);69539;2005;677;5165;5690;170;173;297;87
3526407;Laranjal Paulista (SP);79463;2005;757;5451;11153;188;151;268;108
3526506;Lavínia (SP);83999;2005;679;5387;5772;200;170;296;88
3526704;Leme (SP);95492;2005;811;5446;9321;315;153;272;121
3526803;Lençóis Paulista (SP);78712;2005;802;5666;10574;265;144;271;108
3526902;Limeira (SP);71879;2005;772;5268;9205;250;149;267;116
3527009;Lindóia (SP);79476;2005;819;6003;12746;354;137;257;132
3527108;Lins (SP);71524;2005;753;5228;7090;262;159;286;103
3527256;Lourdes (SP);81185;2005;704;5359;6392;216;169;297;96
3527405;Lucélia (SP);80464;2005;690;5299;6063;160;168;293;90
3527504;Lucianópolis (SP);79719;2005;791;5403;8823;235;150;279;109
3527603;Luís Antônio (SP);77007;2005;829;5678;10401;330;156;278;127
3527702;Luiziânia (SP);79000;2005;731;5185;6258;181;161;288;96
3527900;Lutécia (SP);74495;2005;764;5348;7349;162;156;282;103
3528007;Macatuba (SP);78551;2005;791;5190;8756;249;152;276;107
3528106;Macaubal (SP);98899;2005;708;5287;6363;242;169;298;97
3528205;Macedônia (SP);;2005;698;5110;6116;300;172;301;103
3528304;Magda (SP);89951;2005;702;5546;6030;229;170;298;98
3528601;Manduri (SP);79462;2005;822;5259;10599;235;144;271;108
3528700;Marabá Paulista (SP);79464;2005;675;5233;5395;120;174;295;82
3528809;Maracaí (SP);92413;2005;794;4732;7174;156;166;287;107
3528858;Marapoama (SP);79463;2005;727;5388;7473;299;167;292;103
3528908;Mariápolis (SP);77923;2005;706;5141;5793;147;172;297;91
3529005;Marília (SP);;2005;760;5448;8009;180;152;280;102
3529203;Martinópolis (SP);89407;2005;743;5347;6397;134;171;293;98
3529302;Matão (SP);71790;2005;758;5521;8172;300;157;278;114
3529500;Mendonça (SP);79463;2005;706;5279;6842;263;168;295;97
3529609;Meridiano (SP);60000;2005;706;5405;6005;260;171;299;103
3529658;Mesópolis (SP);;2005;708;4941;5441;302;173;302;109
3529708;Miguelópolis (SP);102225;2005;763;4116;7301;434;169;292;133
3529807;Mineiros do Tietê (SP);79470;2005;784;4989;8685;260;147;268;114
3530003;Mira Estrela (SP);;2005;704;4488;6026;328;175;304;104
3530102;Mirandópolis (SP);78503;2005;679;5615;5861;202;171;296;87
3530201;Mirante do Paranapanema (SP);69533;2005;675;5155;5482;122;172;294;84
3530300;Mirassol (SP);79464;2005;720;5251;6953;306;167;295;100
3530409;Mirassolândia (SP);79513;2005;722;5257;6718;339;171;300;106
3530508;Mococa (SP);75003;2005;842;5856;11152;485;150;272;133
3530706;Mogi Guaçu (SP);79473;2005;824;5959;11111;373;148;269;125
3530805;Mogi Mirim (SP);89396;2005;807;5373;9930;349;145;265;123
3530904;Mombuca (SP);69530;2005;752;5225;9091;166;149;265;108
3531001;Monções (SP);;2005;705;5231;6204;231;170;298;96
3531209;Monte Alegre do Sul (SP);;2005;791;6501;12708;337;129;246;132
3531308;Monte Alto (SP);89402;2005;749;5456;7767;352;161;283;114
3531407;Monte Aprazível (SP);69538;2005;714;5281;6473;278;169;298;101
3531506;Monte Azul Paulista (SP);92388;2005;752;5704;8256;394;168;292;113
3531605;Monte Castelo (SP);;2005;638;5569;5641;186;177;299;80
3531803;Monte Mor (SP);64564;2005;762;5190;9640;205;150;265;113
3531902;Morro Agudo (SP);90474;2005;766;4828;7723;399;168;289;124
3532058;Motuca (SP);78297;2005;762;5169;8699;310;157;278;117
3532108;Murutinga do Sul (SP);111217;2005;686;5612;5929;210;174;298;89
3532157;Nantes (SP);84430;2005;769;4718;6636;156;171;291;102
3532207;Narandiba (SP);89396;2005;724;5545;6660;140;172;292;93
3532405;Nazaré Paulista (SP);44405;2005;717;7150;16532;367;127;232;135
3532504;Neves Paulista (SP);79462;2005;712;5301;6771;282;168;296;99
3532603;Nhandeara (SP);79463;2005;710;5266;6194;246;170;298;99
3532702;Nipoã (SP);79476;2005;708;5224;6444;266;169;297;98
3532801;Nova Aliança (SP);118680;2005;705;5353;6885;274;168;296;97
3532843;Nova Canaã Paulista (SP);;2005;706;5368;5682;209;172;300;103
3532868;Nova Castilho (SP);94214;2005;677;5097;6100;212;170;298;93
3532900;Nova Europa (SP);89409;2005;768;5488;7944;284;158;280;113
3533007;Nova Granada (SP);89396;2005;729;5293;6713;377;172;301;109
3533106;Nova Guataporanga (SP);99328;2005;636;5193;5399;189;174;297;81
3533205;Nova Independência (SP);119423;2005;661;5614;5612;197;177;300;84
3533254;Novais (SP);84439;2005;744;5378;8026;360;168;293;109
3533304;Nova Luzitânia (SP);77907;2005;689;5430;6153;214;171;299;94
3533403;Nova Odessa (SP);59597;2005;768;4814;9473;237;150;267;115
3533502;Novo Horizonte (SP);82142;2005;735;5062;7435;276;164;290;103
3533601;Nuporanga (SP);77019;2005;808;4865;9148;383;161;271;135
3533700;Ocauçu (SP);;2005;784;5692;8921;206;150;277;104
3533809;Óleo (SP);79462;2005;833;5337;10149;237;145;273;112
3533908;Olímpia (SP);90528;2005;745;5478;7543;402;170;297;110
3534005;Onda Verde (SP);79463;2005;736;5259;6942;379;171;299;108
3534104;Oriente (SP);;2005;745;5630;7982;159;153;281;99
3534203;Orindiúva (SP);71521;2005;733;5301;6826;387;175;305;114
3534302;Orlândia (SP);92410;2005;798;5116;8339;379;162;276;134
3534500;Oscar Bressane (SP);;2005;757;5413;7713;161;156;283;101
3534609;Osvaldo Cruz (SP);75606;2005;709;5561;6394;156;165;291;92
3534708;Ourinhos (SP);85431;2005;827;5047;7947;189;156;282;112
3534757;Ouroeste (SP);74497;2005;709;5204;5767;320;173;301;108
3534807;Ouro Verde (SP);84429;2005;642;5136;5564;177;176;299;81
3534906;Pacaembu (SP);77486;2005;702;5295;5738;171;171;295;90
3535002;Palestina (SP);79464;2005;716;5206;6649;351;173;303;108
3535101;Palmares Paulista (SP);84443;2005;748;5470;7941;351;166;291;110
3535200;Palmeira d'Oeste (SP);;2005;702;5439;5820;206;172;299;99
3535309;Palmital (SP);89404;2005;786;4784;7411;145;157;283;101
3535507;Paraguaçu Paulista (SP);76668;2005;783;5186;7160;157;160;285;106
3535705;Paraíso (SP);84439;2005;747;5531;7982;371;168;292;111
3535804;Paranapanema (SP);49663;2005;813;4991;10860;312;144;265;107
3535903;Paranapuã (SP);89380;2005;704;5250;5598;285;172;300;107
3536000;Parapuã (SP);72890;2005;737;5307;6486;152;164;290;96
3536208;Pariquera-Açu (SP);11955;2005;845;7293;16355;555;182;274;162
3536257;Parisi (SP);;2005;700;5200;6012;288;172;301;104
3536307;Patrocínio Paulista (SP);89410;2005;820;5752;10947;407;155;259;142
3536406;Paulicéia (SP);;2005;646;5366;5330;213;180;301;80
3536505;Paulínia (SP);70000;2005;779;4739;9822;278;150;267;118
3536570;Paulistânia (SP);58888;2005;796;5622;10066;244;149;278;107
3536604;Paulo de Faria (SP);87282;2005;734;5024;6532;379;174;305;115
3536703;Pederneiras (SP);79065;2005;766;5443;8506;238;154;280;101
3536802;Pedra Bela (SP);;2005;760;6354;13814;357;118;233;144
3536901;Pedranópolis (SP);59596;2005;699;5201;6103;290;172;301;104
3537008;Pedregulho (SP);79463;2005;759;5800;10829;378;156;262;142
3537107;Pedreira (SP);60548;2005;795;6003;11446;317;140;257;122
3537156;Pedrinhas Paulista (SP);98900;2005;799;4085;6807;160;169;289;106
3537305;Penápolis (SP);76490;2005;728;4881;6681;232;164;291;101
3537404;Pereira Barreto (SP);74773;2005;705;4693;5811;205;175;301;94
3537503;Pereiras (SP);71615;2005;755;5567;11861;193;149;265;109
3537701;Piacatu (SP);87453;2005;712;5431;6351;180;164;291;93
3538006;Pindamonhangaba (SP);60000;2005;786;6400;15463;391;142;255;138
3538105;Pindorama (SP);84442;2005;744;5418;7950;324;165;289;108
3538303;Piquerobi (SP);79462;2005;660;5157;5382;135;176;298;84
3538600;Piracaia (SP);44704;2005;740;6557;14763;386;126;234;140
3538709;Piracicaba (SP);81778;2005;772;5280;9759;220;152;269;113
3538808;Piraju (SP);79578;2005;841;5471;10413;236;147;273;110
3538907;Pirajuí (SP);74844;2005;760;5264;7556;239;156;283;102
3539004;Pirangi (SP);89396;2005;749;5364;7944;369;166;290;112
3539202;Pirapozinho (SP);69530;2005;708;5326;6044;130;173;293;91
3539301;Pirassununga (SP);93224;2005;816;5503;9115;327;157;276;122
3539400;Piratininga (SP);44690;2005;780;5775;9323;239;152;280;102
3539509;Pitangueiras (SP);86890;2005;759;5031;7796;383;166;288;119
3539608;Planalto (SP);89396;2005;708;5168;6377;243;169;297;97
3539707;Platina (SP);89399;2005;780;5136;7934;172;153;280;101
3539905;Poloni (SP);69530;2005;711;5451;6440;269;169;297;100
3540002;Pompéia (SP);69564;2005;735;5177;7181;151;156;283;97
3540101;Pongaí (SP);;2005;754;4925;7041;266;159;286;104
3540200;Pontal (SP);82139;2005;779;5153;8031;361;166;289;124
3540259;Pontalinda (SP);79462;2005;701;5310;5642;221;172;300;99
3540309;Pontes Gestal (SP);99329;2005;704;5141;6222;323;174;304;105
3540408;Populina (SP);79523;2005;710;5047;5574;313;173;302;109
3540507;Porangaba (SP);;2005;762;5606;12255;211;148;265;110
3540606;Porto Feliz (SP);69535;2005;743;5340;10501;182;147;258;110
3540705;Porto Ferreira (SP);99329;2005;822;5492;9400;330;159;279;125
3540804;Potirendaba (SP);110445;2005;708;5419;6911;287;168;296;98
3540853;Pracinha (SP);74529;2005;713;5077;5816;143;171;296;92
3540903;Pradópolis (SP);69537;2005;775;5050;8190;326;160;283;121
3541059;Pratânia (SP);79481;2005;804;5496;11243;279;138;264;113
3541109;Presidente Alves (SP);81405;2005;768;5757;8162;237;152;280;103
3541208;Presidente Bernardes (SP);59597;2005;682;5356;5768;116;176;297;86
3541307;Presidente Epitácio (SP);;2005;678;4616;5291;157;177;297;80
3541406;Presidente Prudente (SP);79469;2005;707;5332;6136;129;176;298;91
3541505;Presidente Venceslau (SP);79463;2005;654;5149;5509;145;176;298;82
3541604;Promissão (SP);80000;2005;738;4915;6775;245;161;289;100
3541653;Quadra (SP);79463;2005;749;5052;11617;196;143;257;110
3541703;Quatá (SP);83359;2005;769;5360;6868;152;160;286;104
3541802;Queiroz (SP);102167;2005;731;4900;6879;158;159;287;93
3541901;Queluz (SP);54455;2005;789;6705;16439;606;128;251;150
3542008;Quintana (SP);99271;2005;742;5349;6918;150;157;284;100
3542107;Rafard (SP);67546;2005;749;5336;9320;161;149;264;107
3542206;Rancharia (SP);80467;2005;778;5334;6802;143;166;290;103
3542404;Regente Feijó (SP);64564;2005;729;5375;6277;124;174;294;95
3542503;Reginópolis (SP);79455;2005;745;5267;7596;241;159;286;100
3542701;Restinga (SP);79470;2005;815;5585;10017;388;159;261;140
3542800;Ribeira (SP);50000;2005;793;7383;18852;593;152;261;116
3542909;Ribeirão Bonito (SP);78076;2005;773;5717;9769;309;152;268;117
3543105;Ribeirão Corrente (SP);118679;2005;787;5549;9296;383;159;258;140
3543204;Ribeirão do Sul (SP);84430;2005;800;4896;7729;198;152;279;107
3543238;Ribeirão dos Índios (SP);98900;2005;673;5111;5579;142;175;299;86
3543402;Ribeirão Preto (SP);72438;2005;836;4801;8592;350;159;283;132
3543501;Riversul (SP);;2005;832;5384;10581;281;152;269;108
3543600;Rifaina (SP);79614;2005;735;5272;10652;371;162;279;139
3543709;Rincão (SP);86704;2005;784;5243;9249;316;157;278;119
3543808;Rinópolis (SP);79463;2005;712;5308;6273;171;164;290;93
3543907;Rio Claro (SP);82495;2005;780;5537;9841;263;150;266;118
3544004;Rio das Pedras (SP);87282;2005;755;5081;9066;182;147;264;110
3544202;Riolândia (SP);89413;2005;719;4696;6212;354;175;305;109
3544251;Rosana (SP);79594;2005;735;5006;5090;178;168;293;87
3544400;Rubiácea (SP);56814;2005;685;5317;6178;188;166;293;90
3544608;Sabino (SP);75982;2005;738;4462;6910;268;163;291;101
3544707;Sagres (SP);79474;2005;724;5131;6241;140;169;294;94
3544806;Sales (SP);79463;2005;722;4837;7170;265;166;293;99
3544905;Sales Oliveira (SP);86251;2005;810;5091;8581;373;162;278;133
3545100;Salmourão (SP);84941;2005;685;5628;6196;169;166;292;90
3545159;Saltinho (SP);69529;2005;759;5362;9821;190;149;266;108
3545209;Salto (SP);74497;2005;762;5101;10198;221;149;261;115
3545407;Salto Grande (SP);79488;2005;804;4996;7570;169;156;282;106
3545506;Sandovalina (SP);;2005;687;5113;5751;127;172;293;87
3545605;Santa Adélia (SP);87397;2005;742;5471;7921;316;165;289;108
3545704;Santa Albertina (SP);;2005;708;4593;5423;282;173;301;109
3545803;Santa Bárbara d'Oeste (SP);75666;2005;760;5013;9171;200;149;266;113
3546207;Santa Cruz da Conceição (SP);79483;2005;798;5655;9016;293;152;268;121
3546256;Santa Cruz da Esperança (SP);69530;2005;865;5548;10408;384;156;280;136
3546306;Santa Cruz das Palmeiras (SP);84214;2005;824;5880;9868;378;155;276;123
3546405;Santa Cruz do Rio Pardo (SP);89403;2005;837;5201;8941;243;151;278;116
3546504;Santa Ernestina (SP);89409;2005;752;5028;7934;315;158;279;115
3546702;Santa Gertrudes (SP);81179;2005;768;5023;8811;247;148;265;117
3546900;Santa Lúcia (SP);75644;2005;776;5058;8924;319;155;273;119
3547007;Santa Maria da Serra (SP);79463;2005;786;5130;9326;261;151;269;116
3547106;Santa Mercedes (SP);;2005;632;5206;5452;199;176;299;80
3547205;Santana da Ponte Pensa (SP);;2005;702;5411;5681;233;171;299;105
3547502;Santa Rita do Passa Quatro (SP);84438;2005;835;6114;10625;344;153;274;130
3547601;Santa Rosa de Viterbo (SP);69537;2005;853;5699;10124;389;152;275;134
3547650;Santa Salete (SP);;2005;699;5412;5640;236;170;298;104
3547700;Santo Anastácio (SP);59635;2005;667;5215;5545;116;175;297;85
3547908;Santo Antônio da Alegria (SP);79436;2005;838;5820;11284;448;147;260;142
3548005;Santo Antônio de Posse (SP);84430;2005;801;5562;10014;332;144;263;121
3548054;Santo Antônio do Aracanguá (SP);91771;2005;680;4946;5942;204;171;299;92
3548302;Santo Expedito (SP);69530;2005;697;5383;5590;140;175;299;89
3548401;Santópolis do Aguapeí (SP);83066;2005;731;5149;6245;176;163;290;95
3548906;São Carlos (SP);83135;2005;797;5646;9385;329;150;263;125
3549102;São João da Boa Vista (SP);81462;2005;849;5996;11091;435;142;264;141
3549201;São João das Duas Pontes (SP);79343;2005;703;5303;5644;240;172;300;101
3549250;São João de Iracema (SP);88637;2005;703;5493;5856;225;171;300;98
3549409;São Joaquim da Barra (SP);77007;2005;775;5084;8085;390;165;280;132
3549508;São José da Bela Vista (SP);89406;2005;797;5200;9444;386;161;266;137
3549607;São José do Barreiro (SP);60173;2005;761;7253;17567;564;113;232;155
3549706;São José do Rio Pardo (SP);74943;2005;841;6017;11535;502;144;264;135
3549805;São José do Rio Preto (SP);79463;2005;733;4817;6758;339;169;296;104
3550001;São Luiz do Paraitinga (SP);19857;2005;746;6965;16230;421;124;232;150
3550100;São Manuel (SP);92084;2005;799;5124;9677;265;146;269;114
3550407;São Pedro (SP);59602;2005;775;5661;10242;259;149;265;119
3550506;São Pedro do Turvo (SP);74508;2005;813;5439;8797;223;152;279;111
3550605;São Roque (SP);59595;2005;706;6609;15009;375;126;230;131
3550803;São Sebastião da Grama (SP);;2005;832;6521;11484;484;130;248;149
3550902;São Simão (SP);77011;2005;852;5646;10610;352;153;277;135
3551207;Sarutaiá (SP);79663;2005;842;5695;10827;254;140;265;113
3551306;Sebastianópolis do Sul (SP);99363;2005;716;5385;6214;270;171;300;102
3551405;Serra Azul (SP);69535;2005;860;5321;10141;364;155;280;136
3551504;Serrana (SP);79475;2005;861;5177;9239;368;158;283;136
3551603;Serra Negra (SP);99401;2005;806;6141;11900;347;131;249;133
3551702;Sertãozinho (SP);82148;2005;794;5079;7929;347;163;286;125
3551900;Severínia (SP);94368;2005;743;5806;8039;401;169;294;110
3552007;Silveiras (SP);62600;2005;797;6668;16000;515;126;247;142
3552106;Socorro (SP);73738;2005;802;5917;13395;354;129;246;138
3552205;Sorocaba (SP);79461;2005;727;4959;11870;228;142;249;114
3552304;Sud Mennucci (SP);74462;2005;689;5043;5788;194;173;300;93
3552403;Sumaré (SP);59597;2005;770;4438;9386;234;150;267;116
3552551;Suzanápolis (SP);87142;2005;719;5175;5817;200;174;300;101
3552601;Tabapuã (SP);84438;2005;738;5462;7790;358;168;294;107
3552700;Tabatinga (SP);84437;2005;762;5553;7406;285;159;282;110
3552908;Taciba (SP);59605;2005;739;5378;6628;137;172;292;97
3553005;Taguaí (SP);80230;2005;850;5614;10653;259;150;271;112
3553104;Taiaçu (SP);98353;2005;749;5568;7980;377;165;287;114
3553203;Taiúva (SP);92391;2005;751;5299;8222;379;162;284;115
3553302;Tambaú (SP);77518;2005;841;5702;10389;417;152;273;129
3553401;Tanabi (SP);79463;2005;712;5316;6520;312;171;300;105
3553609;Tapiratiba (SP);84430;2005;825;6160;11663;537;140;260;139
3553658;Taquaral (SP);89396;2005;754;5644;8415;387;163;284;116
3553708;Taquaritinga (SP);82145;2005;753;5304;7849;317;162;284;113
3553807;Taquarituba (SP);69530;2005;841;5100;9446;285;147;268;109
3553906;Tarabai (SP);;2005;702;5292;5767;117;174;294;90
3553955;Tarumã (SP);92415;2005;790;5131;7617;146;163;285;104
3554003;Tatuí (SP);89409;2005;737;4881;11295;183;143;256;107
3554201;Tejupá (SP);79462;2005;849;5570;10450;279;145;269;111
3554300;Teodoro Sampaio (SP);61614;2005;691;5949;6294;145;168;291;83
3554409;Terra Roxa (SP);92417;2005;750;5162;7961;415;169;292;116
3554508;Tietê (SP);98899;2005;751;5377;9998;175;151;266;107
3554607;Timburi (SP);79578;2005;850;5886;10254;235;145;270;115
3554706;Torrinha (SP);79472;2005;768;5610;9608;274;141;256;118
3554755;Trabiju (SP);77576;2005;770;5460;9196;291;156;275;115
3555000;Tupã (SP);96233;2005;750;5079;6415;157;160;286;100
3555109;Tupi Paulista (SP);89520;2005;650;5222;5600;179;174;297;83
3555208;Turiúba (SP);94625;2005;707;5229;6255;227;169;297;96
3555307;Turmalina (SP);89651;2005;703;5414;5596;292;171;299;105
3555356;Ubarana (SP);79739;2005;713;4714;6733;253;167;295;98
3555604;Uchoa (SP);79470;2005;730;5314;7251;343;168;294;105
3555703;União Paulista (SP);99357;2005;708;5222;6450;252;169;297;98
3555802;Urânia (SP);;2005;699;5341;5487;249;170;298;104
3555901;Uru (SP);;2005;753;4513;7164;260;160;287;103
3556008;Urupês (SP);79469;2005;715;5574;7235;289;167;294;101
3556107;Valentim Gentil (SP);;2005;707;5366;6058;265;171;299;103
3556305;Valparaíso (SP);72000;2005;680;5394;5969;196;169;295;89
3556404;Vargem Grande do Sul (SP);81450;2005;847;5742;10477;453;145;266;134
3556800;Viradouro (SP);93442;2005;752;5209;7984;402;168;290;118
3556909;Vista Alegre do Alto (SP);89396;2005;744;5286;7767;357;165;288;112
3556958;Vitória Brasil (SP);99328;2005;701;5149;5513;270;169;297;105
3557105;Votuporanga (SP);71799;2005;714;5238;6102;277;171;300;104
3557154;Zacarias (SP);99329;2005;712;4200;6212;230;168;296;97
3557204;Chavantes (SP);79474;2005;840;5402;8341;217;153;279;115
3557303;Estiva Gerbi (SP);79463;2005;828;5472;10202;388;147;269;127
3500105;Adamantina (SP);75000;2006;674;5174;5896;166;168;293;100
3500204;Adolfo (SP);100000;2006;666;4080;7356;255;166;294;100
3500303;Aguaí (SP);85000;2006;704;5614;9644;399;152;274;116
3500550;Águas de Santa Bárbara (SP);80333;2006;697;5388;10489;246;146;274;96
3500709;Agudos (SP);80000;2006;676;5969;11043;248;150;278;96
3500758;Alambari (SP);;2006;645;5634;12769;181;142;251;89
3500907;Altair (SP);75000;2006;696;5609;7696;412;171;300;114
3501004;Altinópolis (SP);75000;2006;718;5740;10784;411;155;269;131
3501103;Alto Alegre (SP);80000;2006;659;5165;7061;205;159;287;101
3501152;Alumínio (SP);50135;2006;665;6061;13915;310;130;235;111
3501202;Álvares Florence (SP);80000;2006;679;5103;7329;296;171;300;106
3501608;Americana (SP);75000;2006;642;4394;9071;246;151;269;106
3501707;Américo Brasiliense (SP);81760;2006;678;5098;8715;322;156;273;115
3501806;Américo de Campos (SP);;2006;677;5195;7277;308;172;301;105
3501905;Amparo (SP);110000;2006;687;6169;11810;327;136;253;114
3502002;Analândia (SP);85000;2006;670;5999;10064;303;147;259;115
3502101;Andradina (SP);80000;2006;712;5327;5937;218;176;300;105
3502200;Angatuba (SP);70152;2006;687;5884;13410;260;143;261;95
3502309;Anhembi (SP);65000;2006;671;5340;11223;243;153;272;101
3502408;Anhumas (SP);70000;2006;688;5431;6471;120;172;295;92
3502606;Aparecida d'Oeste (SP);120000;2006;684;5422;6116;192;171;298;107
3502804;Araçatuba (SP);80000;2006;678;4832;6245;200;168;295;104
3502903;Araçoiaba da Serra (SP);100000;2006;637;5298;11683;201;140;248;91
3503000;Aramina (SP);76000;2006;704;4920;9049;403;166;285;130
3503109;Arandu (SP);70000;2006;704;4259;10390;256;146;273;91
3503158;Arapeí (SP);50135;2006;779;6767;15587;569;133;251;137
3503208;Araraquara (SP);75000;2006;670;5380;9326;314;155;272;113
3503307;Araras (SP);83000;2006;662;5642;9781;297;149;267;112
3503356;Arco-Íris (SP);90000;2006;665;4941;6774;169;161;288;101
3503406;Arealva (SP);80000;2006;646;5418;8727;224;159;285;93
3503505;Areias (SP);60000;2006;765;6507;15174;569;121;242;140
3503604;Areiópolis (SP);90000;2006;679;5289;9290;261;148;272;103
3503703;Ariranha (SP);80000;2006;676;5293;8398;342;166;289;112
3503802;Artur Nogueira (SP);90000;2006;661;5425;9617;308;147;266;109
3503950;Aspásia (SP);;2006;681;5280;6223;249;169;297;107
3504008;Assis (SP);75000;2006;673;5294;8015;160;155;280;91
3504107;Atibaia (SP);40000;2006;670;6182;12652;334;131;239;115
3504206;Auriflama (SP);120000;2006;675;5417;6497;205;169;297;105
3504305;Avaí (SP);70000;2006;667;5607;9494;238;156;284;95
3504404;Avanhandava (SP);100000;2006;677;5127;7248;251;162;290;102
3504503;Avaré (SP);70000;2006;697;5218;11602;291;141;269;96
3504602;Bady Bassitt (SP);90000;2006;667;5309;7517;301;168;295;105
3504701;Balbinos (SP);;2006;668;4968;7885;251;158;286;99
3504800;Bálsamo (SP);100000;2006;677;5467;7495;313;167;295;112
3504909;Bananal (SP);50000;2006;774;7156;16311;573;126;243;138
3505104;Barbosa (SP);81831;2006;676;4751;6968;244;167;295;101
3505203;Bariri (SP);80000;2006;654;5254;8382;252;159;283;100
3505302;Barra Bonita (SP);85000;2006;677;5048;8568;252;152;274;104
3505500;Barretos (SP);90000;2006;704;5260;8245;449;170;297;116
3505609;Barrinha (SP);90000;2006;685;5095;8301;339;163;287;120
3505807;Bastos (SP);68000;2006;694;5375;6656;149;163;289;100
3505906;Batatais (SP);85000;2006;709;5112;9347;390;157;265;134
3506003;Bauru (SP);80000;2006;659;5331;9246;233;157;285;93
3506102;Bebedouro (SP);89981;2006;682;5446;8774;405;167;290;118
