Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;;;;;;;;;;;;;;;;;
Variável - Área plantada (Hectares);;;;;;;;;;;;;;;;;;;;;;
Cód.;Município;Ano x Produto das lavouras temporárias;;;;;;;;;;;;;;;;;;;;
Cód.;Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cód.;Município;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar
3503109;Arandu (SP);-;-;-;70;228;239;210;228;210;2500;2250;2250;2200;2200;2200;2000;1250;1450;700;-;300
3503158;Arapeí (SP);-;-;50;50;50;52;52;-;52;60;59;59;59;59;59;59;-;59;59;50;59
3503208;Araraquara (SP);32000;32000;32000;32000;34000;32470;32000;32000;49000;49000;32000;37000;37000;37000;37000;38000;38000;56000;38000;38000;38000
3503307;Araras (SP);26000;29000;26280;27000;27500;26383;26500;26000;26500;31500;26500;26500;26000;30000;-;30400;27000;32000;32000;32000;40000
3503356;Arco-Íris (SP);-;-;1690;1079;1545;1768;1684;2119;4000;3758;3758;4324;5076;4965;4965;6757;7402;5936;6261;2500;3000
3503406;Arealva (SP);600;600;600;600;600;630;1500;15225;20000;20000;20000;7683;7833;7683;7833;7838;7838;8379;11000;8700;10372
3503505;Areias (SP);40;-;40;40;40;52;30;-;30;50;30;30;30;30;30;30;-;30;30;26;30
3503604;Areiópolis (SP);5000;5000;6800;6700;6600;6929;6000;6600;6300;6300;6500;6500;8700;8000;7000;6050;8000;7000;7000;8000;8000
3503703;Ariranha (SP);9100;9100;9000;9100;9100;9554;9100;9100;9100;9100;9500;9000;9000;9000;9000;9000;9295;8600;8600;8600;8600
3503802;Artur Nogueira (SP);2000;2500;1200;1200;1200;1407;1700;2000;2800;2900;3000;2400;2400;2400;2960;3000;3000;3000;3000;4000;4000
3503901;Arujá (SP);-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3503950;Aspásia (SP);-;-;-;-;-;-;-;90;0;100;95;740;880;405;405;405;600;640;800;820;945
3504008;Assis (SP);6064;7300;7300;7778;7934;8177;8030;8230;12193;9000;10693;12897;12500;12500;12500;13900;13900;13900;11728;11782;10481
3504107;Atibaia (SP);-;-;20;20;25;31;30;30;55;55;60;60;40;40;40;40;40;40;50;50;50
3504206;Auriflama (SP);247;-;155;159;205;217;200;2180;1403;-;2200;5900;6800;5040;5040;4149;6053;6710;7000;6900;7080
3504305;Avaí (SP);1075;1075;1755;1255;1255;1318;1100;1200;1318;1320;4247;4408;4924;4924;1233;1233;2500;2500;1200;1200;1712
3504404;Avanhandava (SP);9009;-;7584;13561;15222;11542;14100;14600;18000;18000;24731;24731;25937;25957;21506;7329;18197;20388;22000;26100;23500
3504503;Avaré (SP);6000;7000;6000;6000;6000;6299;6000;6000;6000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10100;10100;10000
3504602;Bady Bassitt (SP);40;-;150;150;470;1302;1570;1570;1700;1900;2200;2200;2200;2380;2380;3380;2100;2175;1775;2720;2236
3504701;Balbinos (SP);-;-;-;-;-;-;-;20;20;20;367;1194;1717;3785;4148;4148;3658;4232;4636;5236;5236
3504800;Bálsamo (SP);100;100;400;400;400;420;850;1850;7200;7700;8200;8200;8300;7500;7600;7600;7400;7200;6600;6600;6650
3504909;Bananal (SP);100;100;50;50;50;52;30;30;30;40;20;20;20;100;100;100;100;100;100;100;60
3505005;Barão de Antonina (SP);-;-;-;-;-;-;-;-;-;-;80;80;-;-;-;-;-;-;-;-;-
